StationID,time,lat,lon,Wave_Height_Significant,Wave_Maximum_Height,Wave_Peak_Period,Wave_Mean_Period,Wind_Speed,Wind_Gust_Speed,Wind_Direction,Air_Pressure,Sea_Temperature,Current_Speed
Vector_NAMR_FB_31A0005,2026-05-29 00:00:00,25.14255,121.8115,0.3,,10.1,,0.38,0.58,300.3,1009.4,26.1,0.1
Vector_NAMR_FB_31A0005,2026-05-29 01:00:00,25.14255,121.8115,0.3,,6.7,,1.36,1.74,324.2,1009.3,26.22,0.13
Vector_NAMR_FB_31A0005,2026-05-29 02:00:00,25.14255,121.8115,0.3,,8.2,,1.71,2.1,352.6,1008.3,26.19,0.11
Vector_NAMR_FB_31A0005,2026-05-29 03:00:00,25.14255,121.8115,0.3,,10,,1.75,1.93,169.9,1008.5,26.24,0.13
Vector_NAMR_FB_31A0005,2026-05-29 04:00:00,25.14255,121.8115,0.3,,6.6,,1.18,1.42,143.4,1008.4,26.3,0.07
Vector_NAMR_FB_31A0005,2026-05-29 05:00:00,25.14255,121.8115,0.3,,7.1,,0.88,1.05,134.3,1007.9,26.4,0.05
Vector_NAMR_FB_31A0005,2026-05-29 06:00:00,25.14255,121.8115,0.3,,8.1,,9.61,13.65,56.2,1009.2,26.36,0.04
Vector_NAMR_FB_31A0005,2026-05-29 07:00:00,25.14255,121.8115,0.3,,6,,3.9,4.81,6.4,1010.9,25.92,0.06
Vector_NAMR_FB_31A0005,2026-05-29 08:00:00,25.14255,121.8115,0.4,,3.5,,1.95,2.71,319.8,1011,26.04,0.13
Vector_NAMR_FB_31A0005,2026-05-29 09:00:00,25.14255,121.8115,0.4,,3.9,,3.06,3.44,292.3,1011.5,25.87,0.13
Vector_NAMR_FB_31A0005,2026-05-29 10:00:00,25.14255,121.8115,0.4,,4,,2.73,4.21,64.1,1011.7,25.7,0.06
Vector_NAMR_FB_31A0005,2026-05-29 11:00:00,25.14255,121.8115,0.6,,4,,6.3,7.71,154.9,1011.3,25.7,0.09
Vector_NAMR_FB_31A0005,2026-05-29 12:00:00,25.14255,121.8115,0.9,,4.1,,3.87,4.55,154.3,1011.1,25.81,0.08
Vector_NAMR_FB_31A0005,2026-05-29 13:00:00,25.14255,121.8115,0.9,,5.1,,3.49,4.1,166.6,1010.6,25.87,0.06
Vector_NAMR_FB_31A0005,2026-05-29 14:00:00,25.14255,121.8115,0.9,,5.1,,4.34,5.21,178.3,1010,25.97,0.09
