魚種,區內出現點,隨機CV-AUC,空間分塊CV-AUC
狗母魚,71,0.8,0.775
日本緋鯉(秋姑),65,0.835,0.784
白帶魚,60,0.824,0.796
鬼頭刀,56,0.885,0.896
赤鯮,54,0.769,0.752
鯖(花飛),51,0.824,0.797
圓鰺,48,0.843,0.786
圓花鰹,41,0.886,0.877
叫姑魚,32,0.827,0.802
魣(竹梭),30,0.857,0.868
竹筴魚,28,0.861,0.755
眼眶魚,24,0.894,0.87
大目鰱,22,0.83,0.682
笛鯛,22,0.723,0.772
緋鯉,22,0.692,0.73
巴鰹,21,0.893,0.869
石斑,20,0.747,0.787
金線魚,18,skip-不足,
方頭魚(馬頭),15,skip-不足,
鮪屬,13,skip-不足,
土魠(馬加鰆),12,skip-不足,
飛魚,12,skip-不足,
扁甲鰺,11,skip-不足,
白鯧,10,skip-不足,
雨傘旗魚,8,skip-不足,
真鯛,6,skip-不足,
黃魚,3,skip-不足,
金帶花鯖,1,skip-不足,
