target_zh,scientificName,vernacularName,class,decimalLatitude,decimalLongitude,eventDate,year,month,depth_m,individualCount,source
劍旗魚,Xiphias gladius,,Actinopterygii,23.05,121.24,2005-11-21,2005,11,,1,台灣水產試驗所－近海與外海標本數位典藏
劍旗魚,Xiphias gladius,,Actinopterygii,24.51,121.82,1994-01-10,1994,1,,1,臺灣魚類資料庫
劍旗魚,"Xiphias gladius Linnaeus, 1758",,,23.0989,121.38,2023-02-07T11:57:24,2023,2,,1,GBIF
劍旗魚,"Xiphias gladius Linnaeus, 1758",,,24.5486,118.1032,2023-10-20T20:45:38,2023,10,,1,GBIF
叫姑魚,BOLD:AAB2971,,,25.5,119.76,2018-01-06,2018,1,,1,GBIF
叫姑魚,BOLD:AAB2971,,,25.2,118.89,2017-05-18,2017,5,,1,GBIF
叫姑魚,BOLD:AAB2971,,,24.9,118.89,2017-07-20,2017,7,,1,GBIF
叫姑魚,BOLD:AAB2971,,,24.48,118.1,2017-09-06,2017,9,,1,GBIF
叫姑魚,Johnius amblycephalus,,,23.1409,119.9964,2017-12-09T17Z,2017,12,,1,2016-2019年台江國家公園拖網調查
叫姑魚,Johnius amblycephalus,,,23.1776,119.9924,2017-12-09T19Z,2017,12,,1,2016-2019年台江國家公園拖網調查
叫姑魚,Johnius amblycephalus,,,23.0705,119.9498,2017-12-10T10Z,2017,12,,1,2016-2019年台江國家公園拖網調查
叫姑魚,Johnius amblycephalus,,Actinopterygii,22.9,120.06,2001/6/1 00:00:00,2001,6,,1,臺灣周邊底拖網調查資料集
叫姑魚,Johnius amblycephalus,,Actinopterygii,22.32,120.2,2001/11/8 00:00:00,2001,11,,1,臺灣周邊底拖網調查資料集
叫姑魚,Johnius amblycephalus,,Actinopterygii,22.58,120.29,1951-11-15,1951,11,,1,台灣水產試驗所－近海與外海標本數位典藏
叫姑魚,Johnius amblycephalus,,Actinopterygii,22.57,121.17,2006-11-22,2006,11,,1,台灣水產試驗所－近海與外海標本數位典藏
叫姑魚,Johnius amblycephalus,,Actinopterygii,22.48,120.46,1977-07-01,1977,7,,1,國立臺灣博物館
叫姑魚,Johnius amblycephalus,團頭叫姑魚,Actinopterygii,22.01,120.74,2010-09-04,2010,9,,1,國立海洋生物博物館
叫姑魚,Johnius amblycephalus,,Actinopterygii,22.84,120.05,2001-05-25,2001,5,,1,臺灣魚類資料庫
叫姑魚,Johnius amblycephalus,,Actinopterygii,24.51,120.54,2004-09-01,2004,9,,1,臺灣魚類資料庫
叫姑魚,Johnius amblycephalus,,Actinopterygii,22.47,120.43,2005-04-28,2005,4,,1,臺灣魚類資料庫
叫姑魚,Johnius amblycephalus,,Actinopterygii,22.47,120.43,2005-10-07,2005,10,,1,臺灣魚類資料庫
叫姑魚,Johnius amblycephalus,,Actinopterygii,22.9,120.06,2001-06-01,2001,6,,1,臺灣魚類資料庫
叫姑魚,Johnius amblycephalus,,Actinopterygii,22.32,120.2,2001-11-08,2001,11,,1,臺灣魚類資料庫
叫姑魚,Johnius amblycephalus,,Actinopterygii,24.49,120.68,1990-04-10,1990,4,,1,臺灣魚類資料庫
叫姑魚,Johnius amblycephalus,,Actinopterygii,25.17,121.4,1998-08-27,1998,8,,1,臺灣魚類資料庫
叫姑魚,"Johnius amblycephalus (Bleeker, 1855)",,Actinopterygii,24.1579,120.3837,2009-06-10,2009,6,,1,台灣中西部沿岸海域拖網調查叫姑魚屬資料集
叫姑魚,"Johnius amblycephalus (Bleeker, 1855)",,Actinopterygii,24.1579,120.3837,2009-09-24,2009,9,,1,台灣中西部沿岸海域拖網調查叫姑魚屬資料集
叫姑魚,"Johnius amblycephalus (Bleeker, 1855)",,Actinopterygii,24.1579,120.3837,2009-07-29,2009,7,,1,台灣中西部沿岸海域拖網調查叫姑魚屬資料集
叫姑魚,"Johnius amblycephalus (Bleeker, 1855)",,Actinopterygii,24.1579,120.3837,2010-03-24,2010,3,,1,台灣中西部沿岸海域拖網調查叫姑魚屬資料集
叫姑魚,"Johnius amblycephalus (Bleeker, 1855)",,Actinopterygii,23.7029,120.1022,2012-06-07,2012,6,,1,台灣中西部沿岸海域拖網調查叫姑魚屬資料集
叫姑魚,"Johnius amblycephalus (Bleeker, 1855)",,Actinopterygii,23.7029,120.1022,2012-08-21,2012,8,,1,台灣中西部沿岸海域拖網調查叫姑魚屬資料集
叫姑魚,"Johnius amblycephalus (Bleeker, 1855)",,Actinopterygii,23.7029,120.1022,2012-12-15,2012,12,,1,台灣中西部沿岸海域拖網調查叫姑魚屬資料集
叫姑魚,"Johnius amblycephalus (Bleeker, 1855)",,Actinopterygii,23.7029,120.1022,2013-04-24,2013,4,,1,台灣中西部沿岸海域拖網調查叫姑魚屬資料集
叫姑魚,"Johnius amblycephalus (Bleeker, 1855)",,Actinopterygii,23.7029,120.1022,2013-08-06,2013,8,,1,台灣中西部沿岸海域拖網調查叫姑魚屬資料集
叫姑魚,"Johnius amblycephalus (Bleeker, 1855)",,Actinopterygii,23.7029,120.1022,2014-05-22,2014,5,,1,台灣中西部沿岸海域拖網調查叫姑魚屬資料集
叫姑魚,"Johnius amblycephalus (Bleeker, 1855)",,Actinopterygii,24.1579,120.3837,2017-02-16,2017,2,,1,台灣中西部沿岸海域拖網調查叫姑魚屬資料集
叫姑魚,"Johnius amblycephalus (Bleeker, 1855)",,Actinopterygii,24.1579,120.3837,2017-04-19,2017,4,,1,台灣中西部沿岸海域拖網調查叫姑魚屬資料集
