魚種,出現點總數,建模可用點數,AUC/狀態
笛鯛,677,440,0.843
狗母魚,577,227,0.924
石斑,530,335,0.856
叫姑魚,491,115,0.932
日本緋鯉(秋姑),373,156,0.915
白帶魚,260,159,0.924
緋鯉,255,182,0.8
圓鰺,212,101,0.936
魣(竹梭),193,102,0.902
赤鯮,192,98,0.959
大目鰱,170,117,0.906
金線魚,157,89,0.95
鬼頭刀,137,35,0.909
竹筴魚,134,101,0.972
鯖(花飛),120,55,0.95
飛魚,103,77,0.802
圓花鰹,93,22,0.91
眼眶魚,66,19,0.949
方頭魚(馬頭),64,55,0.97
土魠(馬加鰆),63,20,0.883
鮪屬,63,33,0.908
扁甲鰺,53,11,skip-不足
巴鰹,46,11,skip-不足
黃魚,39,3,skip-不足
白鯧,30,7,skip-不足
雨傘旗魚,30,14,skip-不足
真鯛,29,12,skip-不足
金帶花鯖,25,19,0.94
正鰹,12,11,skip-不足
劍旗魚,4,2,skip-不足
黑皮旗魚,3,0,skip-不足
旗魚,1,1,skip-不足
白皮旗魚,1,0,skip-不足
秋刀魚,1,0,skip-不足
