目標魚種,出現點數,含物種數,有年月筆數,年代範圍,來源檔數,建模充足度
狗母魚,375,15,375,1946-2018,7,充足(>=50)
叫姑魚,341,21,337,1946-2020,8,充足(>=50)
笛鯛,272,30,271,1945-2010,7,充足(>=50)
石斑,262,40,261,1945-2018,7,充足(>=50)
日本緋鯉(秋姑),204,9,204,1954-2018,7,充足(>=50)
白帶魚,164,6,163,1974-2010,5,充足(>=50)
圓鰺,143,7,143,1951-2010,6,充足(>=50)
金線魚,137,11,137,1945-2016,7,充足(>=50)
大目鰱,134,9,134,1946-2011,7,充足(>=50)
緋鯉,124,12,124,1946-2018,7,充足(>=50)
赤鯮,120,7,120,1945-2011,7,充足(>=50)
竹筴魚,119,1,119,1952-2009,6,充足(>=50)
魣(竹梭),97,9,97,1948-2011,6,充足(>=50)
飛魚,70,29,70,1952-2012,5,充足(>=50)
方頭魚(馬頭),59,4,59,1952-2009,6,充足(>=50)
鯖(花飛),51,3,51,1950-2012,6,充足(>=50)
土魠(馬加鰆),34,4,34,1945-2007,5,可嘗試(30-49)
扁甲鰺,31,1,31,1957-2009,6,可嘗試(30-49)
鬼頭刀,25,3,25,1957-2011,4,偏少(<30)
圓花鰹,22,3,22,1952-2009,2,偏少(<30)
金帶花鯖,22,1,22,1970-2009,5,偏少(<30)
鮪屬,22,5,22,1969-2007,4,偏少(<30)
白鯧,18,5,18,1945-2010,6,偏少(<30)
眼眶魚,18,1,18,1946-2010,6,偏少(<30)
真鯛,14,1,14,1952-2006,4,偏少(<30)
黃魚,10,2,10,1951-2009,4,偏少(<30)
巴鰹,9,1,9,1956-2008,2,偏少(<30)
雨傘旗魚,9,1,9,1952-2008,2,偏少(<30)
正鰹,5,1,5,1969-2008,2,偏少(<30)
黑皮旗魚,3,2,3,2006-2008,1,偏少(<30)
劍旗魚,2,1,2,1994-2005,2,偏少(<30)
旗魚,1,1,1,2003-2003,1,偏少(<30)
白皮旗魚,1,1,1,2006-2006,1,偏少(<30)
秋刀魚,1,1,1,2002-2002,1,偏少(<30)
