kind,year,month,station,date,lat,lon,depth_m,temperature_c,salinity_psu,chl_gt10,chl_lt10,record_id
TS,2004,8,1,2004/8/4,24.8666,122.0,5.0,27.51,34.19,,,272
TS,2004,8,1,2004/8/4,24.8666,122.0,25.0,23.81,34.7,,,272
TS,2004,8,1,2004/8/4,24.8666,122.0,50.0,21.7,34.61,,,272
TS,2004,8,2,2004/8/4,25.0,122.5,5.0,29.42,34.12,,,272
TS,2004,8,2,2004/8/4,25.0,122.5,25.0,28.6,34.15,,,272
TS,2004,8,2,2004/8/4,25.0,122.5,50.0,27.71,34.38,,,272
TS,2004,8,3,2004/8/4,25.0,123.0,5.0,29.33,34.24,,,272
TS,2004,8,3,2004/8/4,25.0,123.0,25.0,28.13,34.35,,,272
TS,2004,8,3,2004/8/4,25.0,123.0,50.0,26.82,34.49,,,272
TS,2004,8,4,2004/8/5,24.5,122.5,5.0,30.17,34.04,,,272
TS,2004,8,4,2004/8/5,24.5,122.5,25.0,28.63,34.18,,,272
TS,2004,8,4,2004/8/5,24.5,122.5,50.0,27.54,34.33,,,272
TS,2004,8,5,2004/8/5,24.5,122.0,5.0,27.9,34.11,,,272
TS,2004,8,5,2004/8/5,24.5,122.0,25.0,26.26,34.45,,,272
TS,2004,8,5,2004/8/5,24.5,122.0,50.0,23.14,34.65,,,272
TS,2004,8,7,2004/8/5,23.75,122.0,5.0,30.24,34.07,,,272
TS,2004,8,7,2004/8/5,23.75,122.0,25.0,29.21,34.19,,,272
TS,2004,8,7,2004/8/5,23.75,122.0,50.0,28.27,34.35,,,272
TS,2004,8,8,2004/8/5,23.75,122.5,5.0,30.67,34.08,,,272
TS,2004,8,8,2004/8/5,23.75,122.5,25.0,29.3,34.21,,,272
TS,2004,8,8,2004/8/5,23.75,122.5,50.0,28.41,34.34,,,272
TS,2004,8,9,2004/8/5,23.75,123.0,5.0,30.7,34.01,,,272
TS,2004,8,9,2004/8/5,23.75,123.0,25.0,29.36,34.01,,,272
TS,2004,8,9,2004/8/5,23.75,123.0,50.0,28.95,34.34,,,272
TS,2004,8,10,2004/8/6,23.0,123.0,5.0,30.16,33.96,,,272
TS,2004,8,10,2004/8/6,23.0,123.0,25.0,29.87,34.42,,,272
TS,2004,8,10,2004/8/6,23.0,123.0,50.0,29.05,34.41,,,272
TS,2004,8,11,2004/8/6,23.0,122.5,5.0,30.09,24.86,,,272
TS,2004,8,11,2004/8/6,23.0,122.5,25.0,29.31,34.04,,,272
TS,2004,8,11,2004/8/6,23.0,122.5,50.0,29.0,34.24,,,272
TS,2004,8,12,2004/8/6,23.0,122.0,5.0,29.75,34.09,,,272
TS,2004,8,12,2004/8/6,23.0,122.0,25.0,29.48,34.08,,,272
TS,2004,8,12,2004/8/6,23.0,122.0,50.0,28.25,34.29,,,272
TS,2004,8,13,2004/8/6,23.0,121.5,5.0,29.91,33.99,,,272
TS,2004,8,13,2004/8/6,23.0,121.5,25.0,29.15,34.01,,,272
TS,2004,8,13,2004/8/6,23.0,121.5,50.0,27.36,34.28,,,272
TS,2004,8,14,2004/8/6,23.6666,121.25,5.0,29.78,34.02,,,272
TS,2004,8,14,2004/8/6,23.6666,121.25,25.0,28.08,34.08,,,272
TS,2004,8,14,2004/8/6,23.6666,121.25,50.0,25.52,34.63,,,272
TS,2004,8,15,2004/8/6,22.25,121.0,5.0,29.63,34.18,,,272
TS,2004,8,15,2004/8/6,22.25,121.0,25.0,29.06,34.14,,,272
TS,2004,8,15,2004/8/6,22.25,121.0,50.0,26.79,34.48,,,272
TS,2004,8,16,2004/8/6,22.25,121.5,5.0,29.73,34.15,,,272
TS,2004,8,16,2004/8/6,22.25,121.5,25.0,28.51,34.23,,,272
TS,2004,8,16,2004/8/6,22.25,121.5,50.0,24.56,34.69,,,272
TS,2004,8,17,2004/8/7,22.25,120.0,5.0,29.04,34.11,,,272
TS,2004,8,17,2004/8/7,22.25,120.0,25.0,27.0,34.43,,,272
TS,2004,8,17,2004/8/7,22.25,120.0,50.0,22.91,34.79,,,272
TS,2004,8,18,2004/8/7,22.25,122.5,5.0,29.1,34.15,,,272
TS,2004,8,18,2004/8/7,22.25,122.5,25.0,27.93,34.28,,,272
TS,2004,8,18,2004/8/7,22.25,122.5,50.0,25.95,34.56,,,272
TS,2004,8,19,2004/8/7,22.25,123.0,5.0,29.32,34.14,,,272
TS,2004,8,19,2004/8/7,22.25,123.0,25.0,27.25,34.39,,,272
TS,2004,8,19,2004/8/7,22.25,123.0,50.0,26.12,34.53,,,272
TS,2004,8,20,2004/8/7,21.5,123.0,5.0,29.7,34.15,,,272
TS,2004,8,20,2004/8/7,21.5,123.0,25.0,29.49,34.14,,,272
TS,2004,8,20,2004/8/7,21.5,123.0,50.0,28.55,34.3,,,272
TS,2004,8,21,2004/8/7,21.5,122.5,5.0,29.44,34.15,,,272
TS,2004,8,21,2004/8/7,21.5,122.5,25.0,29.37,34.14,,,272
TS,2004,8,21,2004/8/7,21.5,122.5,50.0,28.11,34.22,,,272
TS,2004,8,22,2004/8/7,21.5,122.0,5.0,28.95,34.07,,,272
TS,2004,8,22,2004/8/7,21.5,122.0,25.0,27.45,34.18,,,272
TS,2004,8,22,2004/8/7,21.5,122.0,50.0,25.78,34.31,,,272
TS,2004,8,23,2004/8/8,21.5,121.5,5.0,29.36,34.21,,,272
TS,2004,8,23,2004/8/8,21.5,121.5,25.0,28.82,34.24,,,272
TS,2004,8,23,2004/8/8,21.5,121.5,50.0,26.93,34.45,,,272
TS,2004,8,24,2004/8/8,21.5,121.0,5.0,28.88,34.1,,,272
TS,2004,8,24,2004/8/8,21.5,121.0,25.0,28.28,34.07,,,272
TS,2004,8,24,2004/8/8,21.5,121.0,50.0,27.37,34.26,,,272
TS,2004,8,25,2004/8/8,21.5,120.5,5.0,29.34,34.0,,,272
TS,2004,8,25,2004/8/8,21.5,120.5,25.0,29.26,34.0,,,272
TS,2004,8,25,2004/8/8,21.5,120.5,50.0,27.13,34.44,,,272
TS,2004,8,26,2004/8/8,21.5,120.0,5.0,29.33,34.13,,,272
TS,2004,8,26,2004/8/8,21.5,120.0,25.0,28.78,34.19,,,272
TS,2004,8,26,2004/8/8,21.5,120.0,50.0,27.12,34.46,,,272
TS,2004,8,27,2004/8/8,21.5,119.5,5.0,29.74,33.73,,,272
TS,2004,8,27,2004/8/8,21.5,119.5,25.0,28.8,34.15,,,272
TS,2004,8,27,2004/8/8,21.5,119.5,50.0,26.2,34.45,,,272
TS,2004,8,28,2004/8/8,21.5,119.0,5.0,29.41,34.04,,,272
TS,2004,8,28,2004/8/8,21.5,119.0,25.0,28.25,34.07,,,272
TS,2004,8,28,2004/8/8,21.5,119.0,50.0,25.92,34.28,,,272
TS,2004,8,29,2004/8/8,22.0,119.0,5.0,29.92,33.94,,,272
TS,2004,8,29,2004/8/8,22.0,119.0,25.0,29.28,33.96,,,272
TS,2004,8,29,2004/8/8,22.0,119.0,50.0,25.6,34.34,,,272
